,target,feature,importance
0,rt,t1-fav,0.06990788343182583
1,fav,t1-fav,0.36594499879125225
2,rt,past lc,0.1486643046135533
3,fav,past lc,0.19033781691454874
4,rt,past tc,0.09081453606502074
5,fav,past tc,0.10915221124364753
6,rt,t1-rt,0.3769337484672023
7,fav,t1-rt,0.055413909591489785
8,rt,followers,0.047955512317834285
9,fav,followers,0.04814191134278736
10,rt,past m,0.03880609929744519
11,fav,past m,0.04561415633591046
12,rt,friends,0.03303506386952208
13,fav,friends,0.039024672177266816
14,rt,past rt,0.07728224370383176
15,fav,past rt,0.038942775774341264
16,rt,age,0.03587497156591609
17,fav,age,0.03619618880264892
18,rt,tweets,0.02887232945580634
19,fav,tweets,0.02666528202254948
20,rt,tpd,0.031228759830153722
21,fav,tpd,0.02478886408254049
22,rt,day,0.01849752998719815
23,fav,day,0.017344700890135057
24,rt,verified,0.0021270173946903786
25,fav,verified,0.0024325120308818834
